Nama File,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1
soal10_llama3.txt,0.2074,0.0334,0.1050,0.6674
soal11_llama3.txt,0.2067,0.0658,0.1047,0.6208
soal12_llama3.txt,0.1912,0.0540,0.0966,0.6535
soal13_llama3.txt,0.2103,0.0459,0.1003,0.6488
soal14_llama3.txt,0.2015,0.0503,0.1081,0.6497
soal15_llama3.txt,0.2233,0.0421,0.1133,0.6162
soal16_llama3.txt,0.1847,0.0594,0.0902,0.6194
soal17_llama3.txt,0.2734,0.1220,0.1709,0.6396
soal18_llama3.txt,0.1783,0.0522,0.0885,0.6291
soal19_llama3.txt,0.1918,0.0649,0.0917,0.6404
soal1_llama3.txt,0.2745,0.0884,0.1240,0.6553
soal20_llama3.txt,0.2075,0.0458,0.1077,0.6394
soal21_llama3.txt,0.2279,0.0561,0.1048,0.6280
soal22_llama3.txt,0.1835,0.0451,0.0833,0.6135
soal23_llama3.txt,0.1823,0.0333,0.0984,0.6385
soal24_llama3.txt,0.1882,0.0279,0.0824,0.6264
soal25_llama3.txt,0.2059,0.0551,0.1189,0.6207
soal26_llama3.txt,0.2092,0.0677,0.1287,0.6030
soal27_llama3.txt,0.2235,0.0720,0.1084,0.6384
soal28_llama3.txt,0.1812,0.0460,0.0854,0.6445
soal29_llama3.txt,0.1557,0.0434,0.0853,0.6304
soal2_llama3.txt,0.3037,0.0702,0.1207,0.6419
soal30_llama3.txt,0.2064,0.0246,0.0822,0.6225
soal3_llama3.txt,0.2482,0.0900,0.1094,0.6739
soal4_llama3.txt,0.1797,0.0305,0.0935,0.6322
soal5_llama3.txt,0.1792,0.0215,0.0890,0.6391
soal6_llama3.txt,0.2435,0.0519,0.1021,0.6266
soal7_llama3.txt,0.1788,0.0596,0.0950,0.6420
soal8_llama3.txt,0.2043,0.0340,0.1146,0.6508
soal9_llama3.txt,0.2308,0.0678,0.1082,0.6750
