Nama File,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1
soal10_llama3.3.txt,0.2210,0.0217,0.1132,0.6676
soal11_llama3.3.txt,0.1823,0.0167,0.1050,0.6613
soal12_llama3.3.txt,0.1990,0.0050,0.1019,0.6408
soal13_llama3.3.txt,0.1737,0.0100,0.0893,0.5998
soal14_llama3.3.txt,0.2099,0.0176,0.1224,0.6615
soal15_llama3.3.txt,0.1310,0.0050,0.0856,0.5730
soal16_llama3.3.txt,0.1854,0.0089,0.0839,0.5863
soal17_llama3.3.txt,0.1485,0.0140,0.0789,0.5723
soal18_llama3.3.txt,0.1402,0.0047,0.0701,0.6008
soal19_llama3.3.txt,0.1705,0.0095,0.0876,0.6226
soal1_llama3.3.txt,0.2691,0.0637,0.1583,0.6772
soal20_llama3.3.txt,0.1705,0.0114,0.0909,0.6294
soal21_llama3.3.txt,0.1761,0.0227,0.0858,0.5957
soal22_llama3.3.txt,0.1496,0.0051,0.0816,0.5821
soal23_llama3.3.txt,0.1224,0.0050,0.0663,0.5807
soal24_llama3.3.txt,0.1892,0.0163,0.0865,0.5913
soal25_llama3.3.txt,0.1582,0.0170,0.0904,0.6134
soal26_llama3.3.txt,0.1399,0.0059,0.0838,0.6119
soal27_llama3.3.txt,0.2187,0.0137,0.1002,0.6323
soal28_llama3.3.txt,0.1905,0.0319,0.1058,0.5809
soal29_llama3.3.txt,0.1943,0.0115,0.0971,0.6324
soal2_llama3.3.txt,0.2259,0.0111,0.1047,0.6641
soal30_llama3.3.txt,0.1151,0.0096,0.0719,0.6190
soal3_llama3.3.txt,0.3068,0.0282,0.1479,0.7039
soal4_llama3.3.txt,0.2907,0.0605,0.1404,0.6584
soal5_llama3.3.txt,0.2078,0.0157,0.1039,0.6403
soal6_llama3.3.txt,0.2293,0.0392,0.1024,0.6151
soal7_llama3.3.txt,0.2331,0.0185,0.1411,0.6578
soal8_llama3.3.txt,0.2058,0.0212,0.0950,0.6443
soal9_llama3.3.txt,0.2713,0.0267,0.1170,0.6900
